HOSTNAME,STATO,RESPONSABILE,SISTEMA OPERATIVO,DATA EOS,FONTE
cephadmin-pod1,CONFIGURATO,Virtualizzazione,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
vdirect,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
vdirect-va-4,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
pure-vmware-appliance_3,OPERATIVO,Virtualizzazione,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
vdirect-va-4,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
vdirect-va-4,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-1-50-rls-59_2ae9a845-1a7b-4f83-871e-0778d796f22f,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-1-50-rls-59_4f401cf9-b757-4acd-b233-2cc21ebfc2ef,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-1-50-rls-59_8203c439-f780-4d73-8092-cba34f4f73d3,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-1-50-rls-59_8d21d85c-4ecd-4ee3-a7f2-0fd9aa52be2a,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_1aec4a84-d0ed-402e-9b77-a94cfd14efe4,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_513da750-85af-47ae-beb1-76675a52ac5c,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_5f56f648-8252-4869-af55-e1ec3bb708db,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_c55483a6-7771-4086-8f0c-5acd4e8221a4,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_c7db56e6-dfd9-47f7-9caf-cc9c854b996f,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_0d14350a-91e1-4016-9590-27aef1460f50,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_27fd3d4b-097d-49fe-99bb-5ec85626e94b,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_360401db-0422-4fe7-a957-e3f71afcc318,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_4fe52beb-e744-41e9-8c3e-fd74df86ff15,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_53f0f663-15fe-4da8-858f-d2857f7c8b29,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_809da34d-70f6-4788-9d2a-890e83c280e2,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_a274025a-4076-462e-8065-4163613127ab,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_abae62ce-8d0a-472a-9f60-37871c9beef8,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_ae773a14-6348-48bc-8882-464fdf943103,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_bb0ca0eb-d046-47df-bb7a-452f9b516e67,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_e9ad464c-a58b-43ee-9fb5-992eaadc8c4d,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
vdirect-va-4,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_4c32c19b-048f-47b8-8796-7067f708b064,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_e9683a9b-ce01-41c5-b7f9-f9d9a636a3c4,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_9316db86-8db0-497a-b43e-1787dda154ca,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
iperf-test1,OPERATIVO,UNKNOWN,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
iperf-test2,OPERATIVO,UNKNOWN,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
cebasp01v,OPERATIVO,BO_SERVIZI_UP,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
cebasp02v,OPERATIVO,BO_SERVIZI_UP,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
paxonws01l,OPERATIVO,UNKNOWN,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
pvrniprxrmb01v,OPERATIVO,UNKNOWN,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
pvrnirmb01v,OPERATIVO,UNKNOWN,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
pebasp01v,OPERATIVO,PV_TechnicalSupport,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
pebasp02v,OPERATIVO,PV_TechnicalSupport,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
nocsvil01,OPERATIVO,UNKNOWN,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_90c399de-58be-499f-a25b-ec2da949b346,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
ocsinventory2,OPERATIVO,UNKNOWN,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_bf75f645-60d5-402d-8df6-7dc70d04cef2,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
alteonos-32-4-6-0-rls-159_32f67d57-62e2-45e4-89af-e15727784288,OPERATIVO,Network Security,Linux Ubuntu (64-bit),01/04/2028 00:00,DMU
