HOSTNAME,STATO,RESPONSABILE,SISTEMA OPERATIVO,DATA EOS
CP-REPLICA-CD23401C-D591-4094-922F-B05BBE70B2E6,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-REPLICA-CEBC3157-2D0A-4433-9306-08739CB30041,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-REPLICA-D54BD98C-798B-4A21-AB6A-B1FB1B3C7FA9,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-REPLICA-DD0DA4FF-BEBF-4F1C-8E72-A5B90C105DB1,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-REPLICA-EB8BA512-3129-47FD-9795-69CA4CF8E50D,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-REPLICA-FB27C815-8F91-4599-9F6E-C987BB4C2331,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-REPLICA-FF9D10DD-1E7D-4249-8A63-A9DAE62E02A1,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-TEMPLATE-0B3FC863-C08B-4CC5-8E1D-13EC9B5A06D6,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-TEMPLATE-0EA7F3A7-BF14-4778-9F0E-E37791CB3E4D,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-TEMPLATE-16A01A0E-DE4A-4543-A5D4-297E76CC9046,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-TEMPLATE-3618CB14-FBCA-4CF4-A361-924188B32D97,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-TEMPLATE-43DCA7CD-70BD-4BC3-8BE9-6DB5255BE79D,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-TEMPLATE-49153AC8-F14C-478F-9C1B-758CDB207243,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-TEMPLATE-709FBE56-1CA5-42F0-9067-3B4BBF6C00BC,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-TEMPLATE-769D3FB5-1E0D-4D41-A8F3-49CBCDF9EAFB,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-TEMPLATE-78652995-F75F-45E3-9EEF-FA557714D790,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-TEMPLATE-B99D0202-EC0A-4BD4-8DA3-B012BEA1A2DA,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-TEMPLATE-D7A503FD-100C-4927-8FFC-DB9363F5EBD9,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
CP-TEMPLATE-F91BD469-8DC6-4ECB-99A3-43B8F5B8FEC6,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
DDM-P-VD-V01,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
DDM-P-VD-V02,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
DDM-P-VD-V03,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
DDM-P-VD-V04,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
DDM-P-VD-V05,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
DEV-RM-VD-001,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
DEV-RM-VD-002,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),2025-12-01 00:00:00
