HOSTNAME,STATO,RESPONSABILE,SISTEMA OPERATIVO,DATA EOS,FONTE
PST-LOC-VD-006,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-LOC-VD-007,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-LOC-VD-008,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-001,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-002,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-004,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-005,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-006,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-007,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-008,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-009,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-010,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-011,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-012,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-013,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-014,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-015,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-016,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-017,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-018,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-019,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-020,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-021,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-022,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-023,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-024,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-025,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-026,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-027,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-028,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-029,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-030,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-031,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-032,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-033,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-034,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-035,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-036,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-037,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-038,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-039,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-040,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-041,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-042,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-043,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-044,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-045,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-046,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-047,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-048,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-049,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-050,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-051,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-052,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-053,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-054,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-055,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-056,OPERATIVO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
PST-RM-VD-057,CONFIGURATO,UNKNOWN,MICROSOFT WINDOWS 10 (64-BIT),01/12/2025 00:00,DMU
